"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"MS","Mississippi","49-9021","Heating, air conditioning, and refrigeration mechanics and installers",NA,"1870","15.19","31580"
"AL","Alabama","53-7021","Crane and tower operators",NA,"1870","16.20","33700"
"MA","Massachusetts","53-7081","Refuse and recyclable material collectors",NA,"1870","16.79","34920"
"CO","Colorado","43-4061","Eligibility interviewers, government programs",NA,"1870","20.51","42660"
"MI","Michigan","51-9122","Painters, transportation equipment",NA,"1870","22.69","47200"
"WA","Washington","21-1091","Health educators",NA,"1870","24.74","51470"
"CO","Colorado","49-9051","Electrical power-line installers and repairers",NA,"1870","28.59","59470"
"KS","Kansas","17-2051","Civil engineers",NA,"1870","33.71","70130"
"MA","Massachusetts","33-1021","First-line supervisors/managers of fire fighting and prevention workers",NA,"1870","34.09","70910"
"NV","Nevada","15-1051","Computer systems analysts",NA,"1870","35.07","72960"
"NH","New Hampshire","41-1012","First-line supervisors/managers of non-retail sales workers",NA,"1870","35.69","74230"
"GA","Georgia","41-9031","Sales engineers",NA,"1870","40.14","83490"
"PA","Pennsylvania","19-1021","Biochemists and biophysicists",NA,"1870","45.19","93990"
"IL","Illinois","19-2012","Physicists",NA,"1870","46.26","96230"
"MT","Montana","43-4081","Hotel, motel, and resort desk clerks",NA,"1870","8.49","17660"
"KS","Kansas","51-6011","Laundry and dry-cleaning workers",NA,"1870","8.69","18080"
"OK","Oklahoma","45-2093","Farmworkers, farm and ranch animals",NA,"1870","9.17","19080"
"PR","Puerto Rico","53-3031","Driver/sales workers",NA,"1870","9.59","19940"
"NY","New York","51-9198","Helpers--production workers",NA,"18700","10.64","22140"
"GA","Georgia","49-0000","Installation, maintenance, and repair occupations","major","187110","18.29","38040"
"MT","Montana","49-0000","Installation, maintenance, and repair occupations","major","18720","18.01","37470"
"CA","California","43-2011","Switchboard operators, including answering service",NA,"18730","12.95","26940"
"IL","Illinois","43-3011","Bill and account collectors",NA,"18740","15.60","32450"
"IN","Indiana","19-0000","Life, physical, and social science occupations","major","18740","24.47","50890"
"TX","Texas","11-9141","Property, real estate, and community association managers",NA,"18750","20.55","42740"
"MA","Massachusetts","11-3031","Financial managers",NA,"18750","52.79","109810"
"WI","Wisconsin","53-3033","Truck drivers, light or delivery services",NA,"18770","13.33","27730"
"SC","South Carolina","00-0000","All Occupations",NA,"1877950","16.66","34650"
